id	abbreviation	name	code	stoichiometry	is_transport	equation	definition	reversibility	abstract_reaction	pathways	aliases	ec_numbers	deltag	deltagerr	compound_ids	status	is_obsolete	linked_reaction	notes	source
rxn55000	60980	60980	(1) cpd05232[0] + (1) cpd00003[0] <=> (1) cpd38391[0] + (1) cpd00004[0]	-1:cpd00003:0:"NAD";-1:cpd05232:0:"12-Hydroxydodecanoic acid";1:cpd00004:0:"NADH";1:cpd00067:0:"H+";1:cpd38391:0:"11-formylundecanoate"	0	(1) cpd05232[0] + (1) cpd00003[0] <=> (1) cpd38391[0] + (1) cpd00067[0] + (1) cpd00004[0]	(1) 12-Hydroxydodecanoic acid[0] + (1) NAD[0] <=> (1) 11-formylundecanoate[0] + (1) H+[0] + (1) NADH[0]	=	null	null	null	null	10000000	10000000	cpd00003;cpd00004;cpd00067;cpd05232;cpd38391	CPDFORMERROR	0	null		Primary Database
rxn55001	60984	60984	(1) cpd00003[0] + (1) cpd19486[0] <=> (1) cpd20867[0] + (1) cpd00004[0]	-1:cpd00003:0:"NAD";-1:cpd19486:0:"16-Hydroxypalmitate";1:cpd00004:0:"NADH";1:cpd00067:0:"H+";1:cpd20867:0:"16-Oxo-palmitate"	0	(1) cpd00003[0] + (1) cpd19486[0] <=> (1) cpd20867[0] + (1) cpd00004[0] + (1) cpd00067[0]	(1) NAD[0] + (1) 16-Hydroxypalmitate[0] <=> (1) 16-Oxo-palmitate[0] + (1) NADH[0] + (1) H+[0]	=	null	null	null	null	10000000	10000000	cpd00003;cpd00004;cpd00067;cpd19486;cpd20867	OK	0	null		Primary Database
rxn55002	60996	60996	(1) cpd00001[0] + (1) cpd00107[0] + (1) cpd00007[0] <=> (1) cpd00025[0] + (1) cpd00013[0] + (1) cpd00200[0]	-1:cpd00001:0:"H2O";-1:cpd00007:0:"O2";-1:cpd00107:0:"L-Leucine";1:cpd00013:0:"NH3";1:cpd00025:0:"H2O2";1:cpd00200:0:"4MOP"	0	(1) cpd00001[0] + (1) cpd00107[0] + (1) cpd00007[0] <=> (1) cpd00025[0] + (1) cpd00013[0] + (1) cpd00200[0]	(1) H2O[0] + (1) L-Leucine[0] + (1) O2[0] <=> (1) H2O2[0] + (1) NH3[0] + (1) 4MOP[0]	=	null	null	null	null	10000000	10000000	cpd00001;cpd00007;cpd00013;cpd00025;cpd00107;cpd00200	OK	0	null		Primary Database
rxn55003	61020	61020	(1) cpd41783[0] + (1) cpd00022[0] + (1) cpd00017[0] + (1) cpd00001[0] <=> (1) cpd00010[0] + (1) cpd41581[0] + (1) cpd03091[0] + (1) cpd00060[0]	-1:cpd00001:0:"H2O";-1:cpd00017:0:"S-Adenosyl-L-methionine";-1:cpd00022:0:"Acetyl-CoA";-1:cpd41783:0:"uridine(34) in tRNA";1:cpd00010:0:"CoA";1:cpd00060:0:"L-Methionine";2:cpd00067:0:"H+";1:cpd03091:0:"5'-Deoxyadenosine";1:cpd41581:0:"carboxymethyluridine(34) in tRNA"	0	(1) cpd41783[0] + (1) cpd00022[0] + (1) cpd00017[0] + (1) cpd00001[0] <=> (1) cpd00010[0] + (1) cpd41581[0] + (1) cpd03091[0] + (1) cpd00060[0] + (2) cpd00067[0]	(1) uridine(34) in tRNA[0] + (1) Acetyl-CoA[0] + (1) S-Adenosyl-L-methionine[0] + (1) H2O[0] <=> (1) CoA[0] + (1) carboxymethyluridine(34) in tRNA[0] + (1) 5'-Deoxyadenosine[0] + (1) L-Methionine[0] + (2) H+[0]	=	null	null	null	null	10000000	10000000	cpd00001;cpd00010;cpd00017;cpd00022;cpd00060;cpd00067;cpd03091;cpd41581;cpd41783	CPDFORMERROR	0	null		Primary Database
rxn55004	61028	61028	(1) cpd00380[0] + (1) cpd41409[0] <=> (1) cpd42546[0]	-1:cpd00380:0:"Itaconate";-1:cpd41409:0:"L-cysteinyl-[protein]";1:cpd42546:0:"S-(2,3-dicarboxypropyl)-L-cysteinyl-[protein]"	0	(1) cpd00380[0] + (1) cpd41409[0] <=> (1) cpd42546[0]	(1) Itaconate[0] + (1) L-cysteinyl-[protein][0] <=> (1) S-(2,3-dicarboxypropyl)-L-cysteinyl-[protein][0]	=	null	null	null	null	10000000	10000000	cpd00380;cpd41409;cpd42546	CPDFORMERROR	0	null		Primary Database
rxn55005	61040	61040	(1) cpd00007[0] + (1) cpd41831[0] + (1) cpd38221[0] <=> (1) cpd08587[0] + (1) cpd41832[0] + (1) cpd00001[0]	-1:cpd00007:0:"O2";-1:cpd38221:0:"(+)-vincadifformine";-1:cpd41831:0:"reduced [NADPH--hemoprotein reductase]";1:cpd00001:0:"H2O";1:cpd00067:0:"H+";1:cpd08587:0:"Minovincinine";1:cpd41832:0:"oxidized [NADPH--hemoprotein reductase]"	0	(1) cpd00007[0] + (1) cpd41831[0] + (1) cpd38221[0] <=> (1) cpd08587[0] + (1) cpd00067[0] + (1) cpd41832[0] + (1) cpd00001[0]	(1) O2[0] + (1) reduced [NADPH--hemoprotein reductase][0] + (1) (+)-vincadifformine[0] <=> (1) Minovincinine[0] + (1) H+[0] + (1) oxidized [NADPH--hemoprotein reductase][0] + (1) H2O[0]	=	null	null	null	null	10000000	10000000	cpd00001;cpd00007;cpd00067;cpd08587;cpd38221;cpd41831;cpd41832	CPDFORMERROR	0	null		Primary Database
rxn55006	61044	61044	(1) cpd06139[0] + (1) cpd41831[0] + (1) cpd00007[0] <=> (1) cpd41832[0] + (1) cpd38392[0] + (1) cpd00001[0]	-1:cpd00007:0:"O2";-1:cpd06139:0:"Tabersonine";-1:cpd41831:0:"reduced [NADPH--hemoprotein reductase]";1:cpd00001:0:"H2O";1:cpd00067:0:"H+";1:cpd38392:0:"(-)-(R)-19-hydroxytabersonine";1:cpd41832:0:"oxidized [NADPH--hemoprotein reductase]"	0	(1) cpd06139[0] + (1) cpd41831[0] + (1) cpd00007[0] <=> (1) cpd00067[0] + (1) cpd41832[0] + (1) cpd38392[0] + (1) cpd00001[0]	(1) Tabersonine[0] + (1) reduced [NADPH--hemoprotein reductase][0] + (1) O2[0] <=> (1) H+[0] + (1) oxidized [NADPH--hemoprotein reductase][0] + (1) (-)-(R)-19-hydroxytabersonine[0] + (1) H2O[0]	=	null	null	null	null	10000000	10000000	cpd00001;cpd00007;cpd00067;cpd06139;cpd38392;cpd41831;cpd41832	CPDFORMERROR	0	null		Primary Database
rxn55007	61048	61048	(1) cpd41831[0] + (1) cpd08487[0] + (1) cpd00007[0] <=> (1) cpd41832[0] + (1) cpd08488[0] + (1) cpd00001[0]	-1:cpd00007:0:"O2";-1:cpd08487:0:"Lochnericine";-1:cpd41831:0:"reduced [NADPH--hemoprotein reductase]";1:cpd00001:0:"H2O";1:cpd00067:0:"H+";1:cpd08488:0:"Horhammericine";1:cpd41832:0:"oxidized [NADPH--hemoprotein reductase]"	0	(1) cpd41831[0] + (1) cpd08487[0] + (1) cpd00007[0] <=> (1) cpd00067[0] + (1) cpd41832[0] + (1) cpd08488[0] + (1) cpd00001[0]	(1) reduced [NADPH--hemoprotein reductase][0] + (1) Lochnericine[0] + (1) O2[0] <=> (1) H+[0] + (1) oxidized [NADPH--hemoprotein reductase][0] + (1) Horhammericine[0] + (1) H2O[0]	=	null	null	null	null	10000000	10000000	cpd00001;cpd00007;cpd00067;cpd08487;cpd08488;cpd41831;cpd41832	CPDFORMERROR	0	null		Primary Database
rxn55008	61052	61052	(1) cpd38212[0] + (1) cpd41831[0] + (1) cpd00007[0] <=> (1) cpd00001[0] + (1) cpd08587[0] + (1) cpd41832[0]	-1:cpd00007:0:"O2";-1:cpd38212:0:"(-)-vincadifformine";-1:cpd41831:0:"reduced [NADPH--hemoprotein reductase]";1:cpd00001:0:"H2O";1:cpd00067:0:"H+";1:cpd08587:0:"Minovincinine";1:cpd41832:0:"oxidized [NADPH--hemoprotein reductase]"	0	(1) cpd38212[0] + (1) cpd41831[0] + (1) cpd00007[0] <=> (1) cpd00001[0] + (1) cpd08587[0] + (1) cpd00067[0] + (1) cpd41832[0]	(1) (-)-vincadifformine[0] + (1) reduced [NADPH--hemoprotein reductase][0] + (1) O2[0] <=> (1) H2O[0] + (1) Minovincinine[0] + (1) H+[0] + (1) oxidized [NADPH--hemoprotein reductase][0]	=	null	null	null	null	10000000	10000000	cpd00001;cpd00007;cpd00067;cpd08587;cpd38212;cpd41831;cpd41832	CPDFORMERROR	0	null		Primary Database
rxn55009	61056	61056	(1) cpd06139[0] + (1) cpd41831[0] + (1) cpd00007[0] <=> (1) cpd41832[0] + (1) cpd00001[0] + (1) cpd08487[0]	-1:cpd00007:0:"O2";-1:cpd06139:0:"Tabersonine";-1:cpd41831:0:"reduced [NADPH--hemoprotein reductase]";1:cpd00001:0:"H2O";1:cpd00067:0:"H+";1:cpd08487:0:"Lochnericine";1:cpd41832:0:"oxidized [NADPH--hemoprotein reductase]"	0	(1) cpd06139[0] + (1) cpd41831[0] + (1) cpd00007[0] <=> (1) cpd41832[0] + (1) cpd00001[0] + (1) cpd00067[0] + (1) cpd08487[0]	(1) Tabersonine[0] + (1) reduced [NADPH--hemoprotein reductase][0] + (1) O2[0] <=> (1) oxidized [NADPH--hemoprotein reductase][0] + (1) H2O[0] + (1) H+[0] + (1) Lochnericine[0]	=	null	null	null	null	10000000	10000000	cpd00001;cpd00007;cpd00067;cpd06139;cpd08487;cpd41831;cpd41832	CPDFORMERROR	0	null		Primary Database
