id	abbreviation	name	code	stoichiometry	is_transport	equation	definition	reversibility	abstract_reaction	pathways	aliases	ec_numbers	deltag	deltagerr	compound_ids	status	is_obsolete	linked_reaction	notes	source
rxn49000	15873	15873	(1) cpd40376[0] <=> (1) cpd39601[0]	-1:cpd40376:0:"an NDP-alpha-D-glucose";1:cpd00067:0:"H+";1:cpd39601:0:"NDP trianion"	0	(1) cpd40376[0] <=> (1) cpd00067[0] + (1) cpd39601[0]	(1) an NDP-alpha-D-glucose[0] <=> (1) H+[0] + (1) NDP trianion[0]	=	null	null	null	null	10000000	10000000	cpd00067;cpd39601;cpd40376	CPDFORMERROR	0	null		Primary Database
rxn49001	15881	15881	(1) cpd00002[0] + (1) cpd42116[0] <=> (1) cpd00008[0] + (1) cpd42117[0]	-1:cpd00002:0:"ATP";-1:cpd42116:0:"L-seryl-[Fas-activated protein]";1:cpd00008:0:"ADP";1:cpd00067:0:"H+";1:cpd42117:0:"O-phospho-L-seryl-[Fas-activated protein]"	0	(1) cpd00002[0] + (1) cpd42116[0] <=> (1) cpd00008[0] + (1) cpd00067[0] + (1) cpd42117[0]	(1) ATP[0] + (1) L-seryl-[Fas-activated protein][0] <=> (1) ADP[0] + (1) H+[0] + (1) O-phospho-L-seryl-[Fas-activated protein][0]	=	null	null	null	null	10000000	10000000	cpd00002;cpd00008;cpd00067;cpd42116;cpd42117	CPDFORMERROR	0	null		Primary Database
rxn49002	15885	15885	(1) cpd00006[0] + (1) cpd00453[0] <=> (1) cpd03105[0] + (1) cpd00005[0]	-1:cpd00006:0:"NADP";-1:cpd00453:0:"1,2-Propanediol";1:cpd00005:0:"NADPH";1:cpd00067:0:"H+";1:cpd03105:0:"Acetol"	0	(1) cpd00006[0] + (1) cpd00453[0] <=> (1) cpd00067[0] + (1) cpd03105[0] + (1) cpd00005[0]	(1) NADP[0] + (1) 1,2-Propanediol[0] <=> (1) H+[0] + (1) Acetol[0] + (1) NADPH[0]	=	null	null	null	null	10000000	10000000	cpd00005;cpd00006;cpd00067;cpd00453;cpd03105	OK	0	null		Primary Database
rxn49003	15893	15893	(1) cpd39681[0] <=> (1) cpd03426[0] + (1) cpd00149[0]	-2:cpd00067:0:"H+";-1:cpd39681:0:"Co-sirohydrochlorin";1:cpd00149:0:"Co2+";1:cpd03426:0:"Sirohydrochlorin"	0	(1) cpd39681[0] + (2) cpd00067[0] <=> (1) cpd03426[0] + (1) cpd00149[0]	(1) Co-sirohydrochlorin[0] + (2) H+[0] <=> (1) Sirohydrochlorin[0] + (1) Co2+[0]	=	null	null	null	null	10000000	10000000	cpd00067;cpd00149;cpd03426;cpd39681	CPDFORMERROR	0	null		Primary Database
rxn49004	15917	15917	(1) cpd00003[0] + (1) cpd37979[0] <=> (1) cpd00004[0] + (1) cpd31228[0]	-1:cpd00003:0:"NAD";-1:cpd37979:0:"an aldopyranose";1:cpd00004:0:"NADH";1:cpd00067:0:"H+";1:cpd31228:0:"Aldono-1,5-lactone"	0	(1) cpd00003[0] + (1) cpd37979[0] <=> (1) cpd00004[0] + (1) cpd31228[0] + (1) cpd00067[0]	(1) NAD[0] + (1) an aldopyranose[0] <=> (1) NADH[0] + (1) Aldono-1,5-lactone[0] + (1) H+[0]	=	null	null	null	null	10000000	10000000	cpd00003;cpd00004;cpd00067;cpd31228;cpd37979	CPDFORMERROR	0	null		Primary Database
rxn49005	15921	15921	(2) cpd12371[0] <=> (1) cpd11423[0] + (1) cpd41110[0]	-2:cpd12371:0:"MGDG";1:cpd11423:0:"1,2-Diacyl-sn-glycerol";1:cpd41110:0:"a 1,2-diacyl-3-O-[beta-D-galactosyl-(1->6)-beta-D-galactosyl]-sn-glycerol"	0	(2) cpd12371[0] <=> (1) cpd11423[0] + (1) cpd41110[0]	(2) MGDG[0] <=> (1) 1,2-Diacyl-sn-glycerol[0] + (1) a 1,2-diacyl-3-O-[beta-D-galactosyl-(1->6)-beta-D-galactosyl]-sn-glycerol[0]	=	null	null	null	null	10000000	10000000	cpd11423;cpd12371;cpd41110	CPDFORMERROR	0	null		Primary Database
rxn49006	15937	15937	(1) cpd00195[0] + (1) cpd00006[0] <=> (1) cpd00005[0] + (1) cpd00071[0]	-1:cpd00006:0:"NADP";-1:cpd00195:0:"1-Alcohol";1:cpd00005:0:"NADPH";1:cpd00067:0:"H+";1:cpd00071:0:"Acetaldehyde"	0	(1) cpd00195[0] + (1) cpd00006[0] <=> (1) cpd00005[0] + (1) cpd00071[0] + (1) cpd00067[0]	(1) 1-Alcohol[0] + (1) NADP[0] <=> (1) NADPH[0] + (1) Acetaldehyde[0] + (1) H+[0]	=	null	null	null	null	10000000	10000000	cpd00005;cpd00006;cpd00067;cpd00071;cpd00195	MI:C:1/H:3/R:-1	0	null		Primary Database
rxn49007	15945	15945	(1) cpd01850[0] + (1) cpd42896[0] <=> (1) cpd42551[0] + (1) cpd00001[0]	-1:cpd01850:0:"L-Sorbose 1P";-1:cpd42896:0:"L-lysyl-[protein]";1:cpd00001:0:"H2O";1:cpd42551:0:"N(6)-(6-O-phospho-D-fructosyl)-L-lysyl-[protein]"	0	(1) cpd01850[0] + (1) cpd42896[0] <=> (1) cpd42551[0] + (1) cpd00001[0]	(1) L-Sorbose 1P[0] + (1) L-lysyl-[protein][0] <=> (1) N(6)-(6-O-phospho-D-fructosyl)-L-lysyl-[protein][0] + (1) H2O[0]	=	null	null	null	null	10000000	10000000	cpd00001;cpd01850;cpd42551;cpd42896	CPDFORMERROR	0	null		Primary Database
rxn49008	15965	15965	(1) cpd40275[0] + (1) cpd00001[0] <=> (1) cpd39606[0] + (1) cpd00162[0]	-1:cpd00001:0:"H2O";-1:cpd40275:0:"1-O-alkyl-2-hydroxy-sn-glycero-3-phosphoethanolamine zwitterion";1:cpd00067:0:"H+";1:cpd00162:0:"Aminoethanol";1:cpd39606:0:"1-O-alkyl-sn-glycero-3-phosphate"	0	(1) cpd40275[0] + (1) cpd00001[0] <=> (1) cpd39606[0] + (1) cpd00162[0] + (1) cpd00067[0]	(1) 1-O-alkyl-2-hydroxy-sn-glycero-3-phosphoethanolamine zwitterion[0] + (1) H2O[0] <=> (1) 1-O-alkyl-sn-glycero-3-phosphate[0] + (1) Aminoethanol[0] + (1) H+[0]	=	null	null	null	null	10000000	10000000	cpd00001;cpd00067;cpd00162;cpd39606;cpd40275	CPDFORMERROR	0	null		Primary Database
rxn49009	16001	16001	(1) cpd00001[0] + (1) cpd38452[0] <=> (1) cpd00114[0] + (1) cpd00187[0]	-1:cpd00001:0:"H2O";-1:cpd00067:0:"H+";-1:cpd38452:0:"N(6)-methyl-AMP";1:cpd00114:0:"IMP";1:cpd00187:0:"Methanamine"	0	(1) cpd00067[0] + (1) cpd00001[0] + (1) cpd38452[0] <=> (1) cpd00114[0] + (1) cpd00187[0]	(1) H+[0] + (1) H2O[0] + (1) N(6)-methyl-AMP[0] <=> (1) IMP[0] + (1) Methanamine[0]	=	null	null	null	null	10000000	10000000	cpd00001;cpd00067;cpd00114;cpd00187;cpd38452	CPDFORMERROR	0	null		Primary Database
