id	abbreviation	name	code	stoichiometry	is_transport	equation	definition	reversibility	abstract_reaction	pathways	aliases	ec_numbers	deltag	deltagerr	compound_ids	status	is_obsolete	linked_reaction	notes	source
rxn52000	45108	45108	(1) cpd00007[0] + (1) cpd41831[0] + (1) cpd01628[0] <=> (1) cpd41832[0] + (1) cpd23161[0] + (1) cpd00001[0]	-1:cpd00007:0:"O2";-1:cpd01628:0:"Vitamin E";-1:cpd41831:0:"reduced [NADPH--hemoprotein reductase]";1:cpd00001:0:"H2O";1:cpd00067:0:"H+";1:cpd23161:0:"13'-OH-alpha-tocopherol";1:cpd41832:0:"oxidized [NADPH--hemoprotein reductase]"	0	(1) cpd00007[0] + (1) cpd41831[0] + (1) cpd01628[0] <=> (1) cpd00067[0] + (1) cpd41832[0] + (1) cpd23161[0] + (1) cpd00001[0]	(1) O2[0] + (1) reduced [NADPH--hemoprotein reductase][0] + (1) Vitamin E[0] <=> (1) H+[0] + (1) oxidized [NADPH--hemoprotein reductase][0] + (1) 13'-OH-alpha-tocopherol[0] + (1) H2O[0]	=	null	null	null	null	10000000	10000000	cpd00001;cpd00007;cpd00067;cpd01628;cpd23161;cpd41831;cpd41832	CPDFORMERROR	0	null		Primary Database
rxn52001	45112	45112	(1) cpd01631[0] + (1) cpd00005[0] + (1) cpd00007[0] <=> (1) cpd00006[0] + (1) cpd00001[0] + (1) cpd40921[0]	-1:cpd00005:0:"NADPH";-1:cpd00007:0:"O2";-1:cpd00067:0:"H+";-1:cpd01631:0:"gamma-Tocopherol";1:cpd00001:0:"H2O";1:cpd00006:0:"NADP";1:cpd40921:0:"(2R)-2-[(4R,8S)-13-hydroxy-4,8,12-trimethyltridecyl]-2,7,8-trimethyl-3,4-dihydro-2H-1-benzopyran-6-ol"	0	(1) cpd01631[0] + (1) cpd00005[0] + (1) cpd00007[0] + (1) cpd00067[0] <=> (1) cpd00006[0] + (1) cpd00001[0] + (1) cpd40921[0]	(1) gamma-Tocopherol[0] + (1) NADPH[0] + (1) O2[0] + (1) H+[0] <=> (1) NADP[0] + (1) H2O[0] + (1) (2R)-2-[(4R,8S)-13-hydroxy-4,8,12-trimethyltridecyl]-2,7,8-trimethyl-3,4-dihydro-2H-1-benzopyran-6-ol[0]	=	null	null	null	null	10000000	10000000	cpd00001;cpd00005;cpd00006;cpd00007;cpd00067;cpd01631;cpd40921	CPDFORMERROR	0	null		Primary Database
rxn52002	45116	45116	(1) cpd25455[0] + (1) cpd00006[0] <=> (1) cpd00005[0] + (1) cpd32303[0]	-1:cpd00006:0:"NADP";-1:cpd25455:0:"(+)-ipsdienol";1:cpd00005:0:"NADPH";1:cpd00067:0:"H+";1:cpd32303:0:"2,7-Octadien-4-one, 2-methyl-6-methylene-"	0	(1) cpd25455[0] + (1) cpd00006[0] <=> (1) cpd00005[0] + (1) cpd00067[0] + (1) cpd32303[0]	(1) (+)-ipsdienol[0] + (1) NADP[0] <=> (1) NADPH[0] + (1) H+[0] + (1) 2,7-Octadien-4-one, 2-methyl-6-methylene-[0]	=	null	null	null	null	10000000	10000000	cpd00005;cpd00006;cpd00067;cpd25455;cpd32303	OK	0	null		Primary Database
rxn52003	45120	45120	(1) cpd25455[0] + (1) cpd00003[0] <=> (1) cpd32303[0] + (1) cpd00004[0]	-1:cpd00003:0:"NAD";-1:cpd25455:0:"(+)-ipsdienol";1:cpd00004:0:"NADH";1:cpd00067:0:"H+";1:cpd32303:0:"2,7-Octadien-4-one, 2-methyl-6-methylene-"	0	(1) cpd25455[0] + (1) cpd00003[0] <=> (1) cpd32303[0] + (1) cpd00004[0] + (1) cpd00067[0]	(1) (+)-ipsdienol[0] + (1) NAD[0] <=> (1) 2,7-Octadien-4-one, 2-methyl-6-methylene-[0] + (1) NADH[0] + (1) H+[0]	=	null	null	null	null	10000000	10000000	cpd00003;cpd00004;cpd00067;cpd25455;cpd32303	OK	0	null		Primary Database
rxn52004	45128	45128	(1) cpd25125[0] + (1) cpd00001[0] <=> (1) cpd00536[0] + (1) cpd40517[0]	-1:cpd00001:0:"H2O";-1:cpd25125:0:"1,2-(9Z-octadecenoyl)-sn-glycero-3-phosphate";1:cpd00067:0:"H+";1:cpd00536:0:"Oleate";1:cpd40517:0:"(2R)-3-hydroxy-2-[(9Z)-octadec-9-enoyloxy]propyl phosphate"	0	(1) cpd25125[0] + (1) cpd00001[0] <=> (1) cpd00067[0] + (1) cpd00536[0] + (1) cpd40517[0]	(1) 1,2-(9Z-octadecenoyl)-sn-glycero-3-phosphate[0] + (1) H2O[0] <=> (1) H+[0] + (1) Oleate[0] + (1) (2R)-3-hydroxy-2-[(9Z)-octadec-9-enoyloxy]propyl phosphate[0]	=	null	null	null	null	10000000	10000000	cpd00001;cpd00067;cpd00536;cpd25125;cpd40517	CPDFORMERROR	0	null		Primary Database
rxn52005	45132	45132	(1) cpd00001[0] + (1) cpd09690[0] <=> (1) cpd00214[0] + (1) cpd40268[0]	-1:cpd00001:0:"H2O";-1:cpd09690:0:"1-Hexadecanoyl-2-(9Z-octadecenoyl)-sn-glycero-3-phosphoethanolamine";1:cpd00067:0:"H+";1:cpd00214:0:"Palmitate";1:cpd40268:0:"2-(9Z-octadecenoyl)-sn-glycero-3-phosphoethanolamine"	0	(1) cpd00001[0] + (1) cpd09690[0] <=> (1) cpd00214[0] + (1) cpd40268[0] + (1) cpd00067[0]	(1) H2O[0] + (1) 1-Hexadecanoyl-2-(9Z-octadecenoyl)-sn-glycero-3-phosphoethanolamine[0] <=> (1) Palmitate[0] + (1) 2-(9Z-octadecenoyl)-sn-glycero-3-phosphoethanolamine[0] + (1) H+[0]	=	null	null	null	null	10000000	10000000	cpd00001;cpd00067;cpd00214;cpd09690;cpd40268	CPDFORMERROR	0	null		Primary Database
rxn52006	45140	45140	(1) cpd41692[0] + (1) cpd03477[0] + (1) cpd00001[0] <=> (1) cpd00011[0] + (1) cpd41450[0] + (1) cpd12844[0] + (1) cpd00007[0]	-1:cpd00001:0:"H2O";-1:cpd00067:0:"H+";-1:cpd03477:0:"Vitamin K1 oxide";-1:cpd41692:0:"4-carboxy-L-glutamyl-[protein]";1:cpd00007:0:"O2";1:cpd00011:0:"CO2";1:cpd12844:0:"Phytonadiol";1:cpd41450:0:"L-glutamyl-[protein]"	0	(1) cpd00067[0] + (1) cpd41692[0] + (1) cpd03477[0] + (1) cpd00001[0] <=> (1) cpd00011[0] + (1) cpd41450[0] + (1) cpd12844[0] + (1) cpd00007[0]	(1) H+[0] + (1) 4-carboxy-L-glutamyl-[protein][0] + (1) Vitamin K1 oxide[0] + (1) H2O[0] <=> (1) CO2[0] + (1) L-glutamyl-[protein][0] + (1) Phytonadiol[0] + (1) O2[0]	=	null	null	null	null	10000000	10000000	cpd00001;cpd00007;cpd00011;cpd00067;cpd03477;cpd12844;cpd41450;cpd41692	CPDFORMERROR	0	null		Primary Database
rxn52007	45164	45164	(1) cpd00001[0] + (1) cpd25136[0] <=> (1) cpd00214[0] + (1) cpd40269[0]	-1:cpd00001:0:"H2O";-1:cpd25136:0:"1-16:0-2-18:2-phosphatidylethanolamine";1:cpd00067:0:"H+";1:cpd00214:0:"Palmitate";1:cpd40269:0:"2-(9Z,12Z)-octadecadienoyl-sn-glycero-3-phosphoethanolamine"	0	(1) cpd00001[0] + (1) cpd25136[0] <=> (1) cpd00067[0] + (1) cpd00214[0] + (1) cpd40269[0]	(1) H2O[0] + (1) 1-16:0-2-18:2-phosphatidylethanolamine[0] <=> (1) H+[0] + (1) Palmitate[0] + (1) 2-(9Z,12Z)-octadecadienoyl-sn-glycero-3-phosphoethanolamine[0]	=	null	null	null	null	10000000	10000000	cpd00001;cpd00067;cpd00214;cpd25136;cpd40269	CPDFORMERROR	0	null		Primary Database
rxn52008	45168	45168	(2) cpd39569[0] + (1) cpd00264[0] <=> (1) cpd40925[0] + (2) cpd00010[0]	-1:cpd00264:0:"Spermidine";-2:cpd39569:0:"(E)-sinapoyl-CoA";2:cpd00010:0:"CoA";2:cpd00067:0:"H+";1:cpd40925:0:"N(1),N(8)-bis[(E)-sinapoyl]-spermidine"	0	(2) cpd39569[0] + (1) cpd00264[0] <=> (2) cpd00067[0] + (1) cpd40925[0] + (2) cpd00010[0]	(2) (E)-sinapoyl-CoA[0] + (1) Spermidine[0] <=> (2) H+[0] + (1) N(1),N(8)-bis[(E)-sinapoyl]-spermidine[0] + (2) CoA[0]	=	null	null	null	null	10000000	10000000	cpd00010;cpd00067;cpd00264;cpd39569;cpd40925	CPDFORMERROR	0	null		Primary Database
rxn52009	45172	45172	(1) cpd21748[0] + (1) cpd40109[0] <=> (1) cpd40583[0] + (1) cpd40261[0]	-1:cpd21748:0:"1,2-dihexadecanoyl-sn-glycero-3-phosphocholine";-1:cpd40109:0:"1,2-di-(9Z-octadecenoyl)-sn-glycero-3-phosphoethanolamine";1:cpd00067:0:"H+";1:cpd40261:0:"(2R)-2-(hexadecanoyloxy)-3-hydroxypropyl 2-(trimethylazaniumyl)ethyl phosphate";1:cpd40583:0:"(2R)-2,3-bis[(9Z)-octadec-9-enoyloxy]propyl 2-(hexadecanoylamino)ethyl phosphate"	0	(1) cpd21748[0] + (1) cpd40109[0] <=> (1) cpd40583[0] + (1) cpd00067[0] + (1) cpd40261[0]	(1) 1,2-dihexadecanoyl-sn-glycero-3-phosphocholine[0] + (1) 1,2-di-(9Z-octadecenoyl)-sn-glycero-3-phosphoethanolamine[0] <=> (1) (2R)-2,3-bis[(9Z)-octadec-9-enoyloxy]propyl 2-(hexadecanoylamino)ethyl phosphate[0] + (1) H+[0] + (1) (2R)-2-(hexadecanoyloxy)-3-hydroxypropyl 2-(trimethylazaniumyl)ethyl phosphate[0]	=	null	null	null	null	10000000	10000000	cpd00067;cpd21748;cpd40109;cpd40261;cpd40583	CPDFORMERROR	0	null		Primary Database
